Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Memberships Sold,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
7/1/2014,37970,10128526,61.17,"17,582,465",114434,126,955,120
7/2/2014,28765,10157291,44.192,"17,626,657",114560,160,688,92
7/3/2014,30078,10187369,48.573,"17,675,230",114720,124,819,88
7/4/2014,14850,10202219,27.905,"17,703,135",114844,48,1196,77
7/5/2014,25116,10227335,55.725,"17,758,860",114892,86,2566,127
7/6/2014,26615,10253950,65.358,"17,824,218",114978,114,2392,111
7/7/2014,35075,10289025,59.834,"17,884,052",115092,195,905,160
7/8/2014,35734,10324759,57.828,"17,941,880",115287,171,740,120
7/9/2014,37588,10362347,60.912,"18,002,792",115446,159,879,127
7/10/2014,39779,10402126,66.239,"18,069,031	",115605,159,1052,115
7/11/2014,38416,10440542,65.516,"18,134,547",115711,106,1339,93
7/12/2014,31413,10471955,63.664,"18,198,211",115810,99,2697,115
7/13/2014,27089,10499044,50.105,"18,248,316",115914,104,1713,91
7/14/2014,28173,10527217,43.222,"18,291,538",116026,112,637,93
7/15/2014,24993,10552210,37.092,"18,328,630",116142,116,410,58
7/16/2014,38610,10590820,63.616,"18,392,246",116245,103,959,116
7/17/2014,41996,10632816,70.061,"18,462,307",116361,116,1114,110
7/18/2014,39526,10672342,69.416,"18,531,723	",116472,111,1502,148
7/19/2014,31943,10704285,64.395,"18,596,118",116551,79,2796,130
7/20/2014,33156,10737441,68.542,"18,664,660",116669,118,2767,146
7/21/2014,38963,10776404,64.824,"18,729,484",116812,143,1162,129
7/22/2014,40450,10816854,67.081,"18,796,565",116969,157,992,127
7/23/2014,37508,10854362,59.956,"18,856,521",117090,121,816,126
7/24/2014,40419,10894781,67.584,"18,924,105",117229,139,1064,109
7/25/2014,39768,10934549,68.652,"18,992,757",117340,111,1457,105
7/26/2014,29882,10964431,59.645,"19,052,402",117427,87,2428,92
7/27/2014,29669,10994100,58.193,"19,110,595",117530,103,2108,115
7/28/2014,36360,11030460,59.567,"19,170,162	",117703,173,877,150
7/29/2014,41198,11071658,68.064,"19,238,226",117930,227,1089,128
7/30/2014,41207,11112865,68.127,"19,306,353",118075,145,1116,99
7/31/2014,39282,11152147,65.414,"19,371,767",118204,129,1065,113
8/1/2014,35829,11187976,59.202,"19,430,969",118314,110,1192,93
8/2/2014,30013,11217989,60.544,"19,490,171",118408,94,2540,127
8/3/2014,27854,11245843,55.867,"19,546,038",118555,147,2146,96
8/4/2014,37408,11283251,63.737,"19,609,775",118704,149,1097,165
8/5/2014,38168,11321419,63.957,"19,673,732",118830,126,1059,119
8/6/2014,39942,11361361,66.342,"19,740,074",118938,108,1067,144
8/7/2014,39933,11401294,67.398,"19,807,472",119047,109,1083,129
8/8/2014,37367,11438661,64.33,"19,871,802",119137,90,1342,111
8/9/2014,35701,11474362,81.003,"19,952,805",119244,107,3814,151
8/10/2014,29339,11503701,61.287,"20,014,092",119351,107,2303,131
8/11/2014,36837,11540538,61.708,"20,075,800",119495,144,1167,132
8/12/2014,28591,11569129,41.88,"20,117,680",119584,89,526,90
8/13/2014,30698,11599827,49.367,"20,167,047",119693,109,661,98
8/14/2014,38863,11638690,67.924,"20,234,971",119789,96,1069,128
8/15/2014,35524,11674214,60015,20294986,119869,80,1198,117
8/16/2014,36127,11710341,83272,20378258,119962,93,4217,155
8/17/2014,30223,11740564,61390,20439648,120069,107,2344,121
8/18/2014,37851,11778415,64873,20504521,120227,158,1156,157
8/19/2014,38912,11817327,65883,20570404,120356,129,965,140
8/20/2014,39090,11856417,66900,20637304,120470,114,1057,110
8/21/2014,36917,11893334,62373,20699677,120598,128,960,107
8/22/2014,33147,11926481,54765,20754442,120688,90,863,81
8/23/2014,28956,11955437,57270,20811712,120769,81,2254,98
8/24/2014,30422,11985859,65005,20876717,120884,115,2528,125
8/25/2014,36244,12022103,60866,20937583,121050,166,1007,146
8/26/2014,37937,12060040,62487,21000070,121157,107,937,124
8/27/2014,36900,12096940,61488,21061558,121292,135,829,83
8/28/2014,37055,12133995,62402,21123960,121423,131,982,83
